seq,group,name,capture_status,match,old_system_path,old_menu_name,old_link,config_id,config_type,main_table,from_table,order_info,visible_columns,hidden_columns,search_fields,add_config_id,show_add_config_id,alignment_note
11,人事行政,工资登记,captured,exact,办公/人事/薪资/工资登记,工资登记,LowCode/Form/FormList?ConfigId=e71b618040b342c7942cc663e5f0913f,e71b618040b342c7942cc663e5f0913f,List,BGGL_XZ_GZ,BGGL_XZ_GZ_CB,Pid desc,单据状态(DJZTText); 单据编号(DJBH); 标题(BT); 年份(NF); 月份(YF); 部门(BM$BGGL_XZ_GZ_CB); 姓名(XM$BGGL_XZ_GZ_CB); 发放单位(D_SCBSJS_FFDW$BGGL_XZ_GZ_CB); 应发工资(HJ$BGGL_XZ_GZ_CB); 实发工资(SFGZ$BGGL_XZ_GZ_CB); 备注(BZ$BGGL_XZ_GZ_CB); 发放人数(FFRS); 附件(f_FJ); 财务支出登记状态(SFDJ); 录入人(LRR); 录入时间(LRSJ),统计范围(TJFW); XMMC(XMMC); LY(LY); SM(SM); 发放人数(ZZBS); 总金额(ZJE); LEV(LEV); 公司名称(SSGS); 应发工资总金额(YFZJE),"姓名(BGGL_XZ_GZ_CB,XM/Data); 年份(NF/Data); 月份(YF/Data); 工资发放单位(BGGL_XZ_GZ_CB,D_SCBSJS_FFDW/Data); 部门(BGGL_XZ_GZ_CB,BM/Data); 编号、项目关键字查询(XMMC,DJBH/Data)",826301492b224cf88f8c4713369713be,29cc469c6f4040d1ac8e717e2038f942,lowcode_form_captured
12,人事行政,补助,captured,exact,办公/人事/薪资/补助,补助,LowCode/Form/FormList?ConfigId=754087d59eb64349b61dd58620789300,754087d59eb64349b61dd58620789300,List,BGGL_XZ_BZ,BGGL_XZ_BZ_CB,Pid desc,状态(DJZTText); 项目名称(XMMC); 单据编号(DJBH); 补助事由(D_SCBSJS_BZSX$BGGL_XZ_BZ_CB); 年度(ND$BGGL_XZ_BZ_CB); 月份(YF$BGGL_XZ_BZ_CB); 补助人(BZR$BGGL_XZ_BZ_CB); 部门(BMGW$BGGL_XZ_BZ_CB); 补助金额(BZJE$BGGL_XZ_BZ_CB); 录入人(LRR); 录入时间(LRSJ),年度(ND); 月份(YF); RY(RY); 部门岗位(BMGW); 补助金额(JE); 补助事由(SY); 补助人(BZR); 所属公司(SSGS); 附件(f_FJ),单据编号(DJBH/Data); 录入时间(LRSJ/Data),d869739b6b8d4c82bbb172a78b182340,9d025d9a68914e2884346faa4603e926,lowcode_form_captured
13,人事行政,奖金,captured,exact,办公/人事/薪资/奖金,奖金,LowCode/Form/FormList?ConfigId=f6500cf34fc3462abd8218a48b592733,f6500cf34fc3462abd8218a48b592733,List,BGGL_XZ_JJ,BGGL_XZ_JJ_CB,Pid desc,年度(ND); 月份(YF); 部门岗位(BMGW); 奖金金额(JE); 奖金事由(SY); 附件(f_FJ); 录入人(LRR); 录入时间(LRSJ),RY(RY); 项目名称(XMMC),单据编号(DJBH/Data); 录入时间(LRSJ/Data),7b174b5fe37440f085e0097e34b4ec1e,e1f901c184284a7f83e620e4e5aecee2,lowcode_form_captured
14,证照资料,证照登记,custom_or_non_lowcode_link,exact,办公/人事/证照/证照登记,证照登记,Custom/FJLX/ZZDJ_List,,,,,,,,,,,custom_page_requires_separate_runtime_probe
15,证照资料,借阅申请,captured,exact,办公/人事/证照/借阅申请,借阅申请,LowCode/Form/FormList?ConfigId=9858b51a528249d4b4672397fdd31e7b,9858b51a528249d4b4672397fdd31e7b,List,ZJGL_ZSJYGL,ZJGL_ZSJYGL_CB,pid desc,单据状态(DJZTText); 单据编号(DJBH); 借阅项目名称(JYXMMC); 证件名称(ZJMC); 申请日期(SQRQ); 借阅部门或项目部名称(JYBMMC); 借阅人(JYR); 联系方式(LXFS); 借阅形式(JYXS); 借阅日期(JYRQ); 负责人(FZRMC); 归还申请日期(GHSQRQ); 申请归还时间(SQGHSJ); 是否归还(SFGH); 确认归还时间(QRGHSJ); 归还日期(GHRQ); 附件(f_FJ); 录入人(LRR); 录入时间(LRSJ); 备注(BZ); 修改人(XGR); 修改日期(XGRQ); 修改备注(XGBZ); 审定人(SDR); 审定时间(SDSJ); 审定意见(SDYJ),,单据编号(DJBH/Data); 借阅部门或项目部(JYBMID/Data); 申请日期(SQRQ/Data),8e03026597ee44c2b3d2979a9dbe558b,7d9291743d8a4353a737b68e94eca069,lowcode_form_captured
16,投标,投标报名管理,captured,exact,办公/招投标/投标报名/投标报名管理,投标报名管理,LowCode/Form/FormList?ConfigId=8dd24ed099044f49a4ae0a910600005c,8dd24ed099044f49a4ae0a910600005c,List,P_ZTB_GCBMGL,,PID desc,单据状态(DJZTText); 推送结果(TSJG); 单据编号(DJBH); 开标时间(KBSJ); 项目名称(f_GCMC); 登记时间(f_BMSJ); 录入人(f_LRR),推送结果(TSJG); 识别码(f_SBH); 报名人(f_BMR); 是否投标(f_SFTB); 报名时间(f_TBSJ); 未投原因(f_WTYY); 备注(f_BZ); 工程招标类型(JSDWXZ); 代理名称(DLMC); 工程地点(GCDD); 工程性质(GCXZ); 工程概况(GCGK); XGBZ(XGBZ); 联系人(f_LXR); 项目经理(XMJL); 资金来源(ZJLY); 开户行(KHH); 账号(KHZH); 报名开始时间(StartBMSD); 报名结束时间(EndBMSD); 最高限价(ZGXJ); 保证金金额(BZJJE); 保证金截止时间(BZJJZSJ); 标书递交地点(BSDJDD); 投标状态(TBZT); 开标地点(KBDD); 经营方式(JYFS); 资料费用(JLFY); 是否锁定人员(SFSDRY); 开标人姓名(KBRXM); 项目经理姓名(XMJL1); 技术负责人姓名(JSFZRXM); 施工员姓名(SGYXM); 质量检测员姓名(ZLJCYXM); 资料员姓名(ZLYXM); 安全员姓名(AQYXM); 材料员姓名(CLYXM); 预算员姓名(YSYXM); 机械员姓名(JXYXM); 劳务员姓名(LWYXM); 招标方式(ZBFS); 资料负责人姓名(ZLFZRXM); 预算负责人名称(YSFZRXM); 所属公司(SSGS); 报名平台(BMFBMPT); 附件(f_FJ); 录入时间(f_LRSJ),投标项目名称(f_GCMC/Data); 登记时间(f_BMSJ/Data); 单据编号(DJBH/Data),cca95771a9e84c48a1dd216958e9281d,86ba61d8b3424674b0d41ec4f719aff8,lowcode_form_captured
17,投标,投标报名费申请,captured,exact,办公/招投标/投标报名/投标报名费申请,投标报名费申请,LowCode/Form/FormList?ConfigId=26e3462907ac40e9ae51971776fb86a4,26e3462907ac40e9ae51971776fb86a4,List,BGGL_ZTBJHT_TBBM_TBBMFSQ,,pid desc,单据状态(DJZTText); 项目名称(XMMC); 单据编号(DJBH); 申请人(SQR); 申请日期(SQRQ); 收款账号(SKZH); 开户行(KHH); 金额(JE); 备注(BZ); 收款人(SKR); 付款方式(FKFS); 附件(f_FJ); 录入人(LRR); 录入时间(LRSJ),所属部门(SSBM); 最迟付款日期(ZCFKRQ); 项目地点(XMDD); 收款单位(SKDW); TBXMMC(TBXMMC); 所属公司(SSGS),单据编号(DJBH/Data),7bd1fd816a044a59a7d1b9e89f6d07b8,556c3b81c83345c984247293c9551dbb,lowcode_form_captured
18,资金保证金,自筹保证金,captured,exact,办公/保证金/自筹保证金/自筹保证金,自筹保证金,LowCode/Form/FormList?ConfigId=74fcd2b29acb4101aee0da39851971f4,74fcd2b29acb4101aee0da39851971f4,List,ZJGL_BZJGL_Branch_SBZJDJ,,pid desc,状态(DJZTText); 单据编号(DJBH); 投标项目名称(TBXMMC); 项目名称(XMMC); 所属公司(SSGS); 金额(JE); 已退保证金金额(YTBZJJE); 转款单位(DW); 汇款方式(HKFS); 保证金类型(BZJLX); 收款账户(SKZH); 收款账户名称(SKZHMC); 备注(BZ); 附件(f_FJ); 录入人(LRR); 录入时间(LRSJ),单据日期(DJRQ); 开户行(KHH); 账号(KHHZH); 预计退回时间(YJTHSJ); 收款人(SKR); 类型(LX); 填写人(TXR),投标项目名称(TBXMMC/Data); 项目名称(XMMC/Data); 单据日期(DJRQ/Data); 保证金类型(BZJLX/Data); 所属公司(SSGS/Data); 转款单位(DW/Data),5de4ca24ee004f9cba00b7bcdc38c7f9,e677173126a3439b8e5bce6fd9249b64,lowcode_form_captured
19,资金保证金,自筹保证金退回,captured,exact,办公/保证金/自筹保证金/自筹保证金退回,自筹保证金退回,LowCode/Form/FormList?ConfigId=2aa899a761964e42a9bd63c9e5de7446,2aa899a761964e42a9bd63c9e5de7446,List,ZJGL_BZJGL_Branch_SBZJTH,ZJGL_BZJGL_Branch_SBZJTH_CB,Pid desc,状态(DJZTText); 收保证金单号(SBZJDH); 单据编号(DJBH); 项目名称(XMMC); 投标项目名称(TBXMMC); 退还金额(THJE); 备注(BZ); 退还账号(THKHHZH); 退还开户行(THKHH); 单位(DW); 收款开户行(SKKHH); 收款账号(SKZH); 录入人(LRR); 录入时间(LRSJ); 附件(f_FJ),类型(LX); 收款单位(SKDW); 入账期间(RZQJ); SKDW_LX(SKDW_LX); 资产名称(ZCMC); 填写人(TXR); 单据日期(DJRQ),投标项目名称(TBXMMC/Data); 项目名称：(XMMC/Data); 单据日期(DJRQ/Data); 备注(BZ/Data); 转款人(DW/Data),e61e621e0f034a3ea5c7218eddee32d4,c9fb4b4471ea49fab064604416c5af25,lowcode_form_captured
20,资金保证金,付款还保证金,captured,exact_alias,办公/保证金/付保证金/付保证金,付保证金,LowCode/Form/FormList?ConfigId=dffaa7ce90ca45d295d83fd66e407b07,dffaa7ce90ca45d295d83fd66e407b07,List,ZJGL_BZJGL_Pay_FBZJ,,Pid desc,状态(DJZTText); 推送结果(TSJG); 金蝶单据编号(OTHER_SYSTEM_CODE); 单据编号(DJBH); 投标项目(TBXMMC); 工程项目(XMMC); 保证金类型(BZJLX); 所属公司(SSGS); 保证金金额(BZJJE); 已退金额(YTJE); 未退金额(WTJE); 是否需要退回(D_SCBSJS_SFXYTH); 收款单位(SKDW); 支付账户(ZFZH); 备注(BZ); 附件(f_FJ); 录入人(LRR); 录入时间(LRSJ),投标项目名称(D_SCBSJS_TBXMMC); 项目名称(XMMC); 收款开户行(SKKHH); 甲方名称(JFMC); 控制价/合同价(HTJE); 付款方式(FKFS); 收款账户(SKZH); 签订日期(QDRQ); 填写日期(TXRQ); 支付账户开户行(ZFKHH); 预计退回时间(YJTHSJ),收款单位(SKDW/Data); 项目名称(TBXMMC/Data); 填表日期(TXRQ/Data); 备注(BZ/Data); 所属公司(SSGS/Data); 是否需要退回(D_SCBSJS_SFXYTH/Data); 保证金类型(BZJLXID/Data); 工程项目(XMMC/Data); 保证金金额(BZJJE/Data),e312528bb67141a7ae89369f9e09678b,19018efaf6cf442dae0f646ae5941f1c,lowcode_form_captured
21,资金保证金,付款还保证金退回,captured,exact_alias,办公/保证金/付保证金/付保证金退回,付保证金退回,LowCode/Form/FormList?ConfigId=0b947e8b721748fc8c7572ab48b2b629,0b947e8b721748fc8c7572ab48b2b629,List,ZJGL_BZJGL_Pay_FBZJTH,ZJGL_BZJGL_Pay_FBZJTH_CB,Pid desc,状态(DJZTText); 推送结果(TSJG); 退回单编号(DJBH); 所属公司(SSGS); 投标项目名称(TBXMMC); 保证金类型(Y_BZJLX); 退回项目(XMMC); 退回金额(THJE); 退回账户(ZHHM); 收款单位(Y_SKDW); 备注(Y_BZ); 录入人(LRR); 退回日期(THRQ); 附件(f_FJ),填写人(TXR); 退回账户(THZH); 付款方式(FKFS); 录入时间(LRSJ),投标项目名称(TBXMMC/Data); 收款单位(Y_SKDW/Data);  项目名称(XMMC/Data); 退回日期(THRQ/Data);   所属公司(SSGS/Data); 保证金类型(Y_BZJLX/Data); 备注(Y_BZ/Data),2f691c60d98e42faa776edbdd020d002,ed0347977e8146c3864201d9b53b60fe,lowcode_form_captured
