legacy_project_id,source_lane,source_rows,visible_source_rows,project_name,sample_contract_id,sample_contract_subject,visible_filter_reasons,legacy_status_counts,source_deleted_rows,missing_subject_rows,missing_counterparty_rows,amount_gcyszj_sum,business_nature_counts,gap_route,gap_note
8e9ed2cf43864b91b23147d4fa8176f4,contract_project_business_fact_anchor,1,0,苍溪县2020年高标准农田建设项目（施工六）标段,5d01be19ac6f4d2d84f3a082c306c7f5,,missing_subject,"{""__empty__"": 1}",0,1,0,6953860.00,"{""联营"": 1}",contract_business_fact_project_anchor_carried,"contract source has project id absent from project.csv and does not pass visible income contract filter, but is carried as a historical project business-fact anchor"
9b29799342fe47ffaa5f4bc17badb5b6,contract_project_business_fact_anchor,1,0,办公室各类合同,ac3050705dd0445abaea4a690493d4df,,"missing_counterparty,missing_subject,non_visible_status","{""-1"": 1}",0,1,1,60000.00,"{""联营"": 1}",contract_business_fact_project_anchor_carried,"contract source has project id absent from project.csv and does not pass visible income contract filter, but is carried as a historical project business-fact anchor"
a6af94c87d324ebda82ca2a8b1c89b8e,contract_project_business_fact_anchor,1,0,蓝海实习实训基地装修工程,83fcb7d4d95c4aca908cc46f66c0e8bc,蓝海实习实训基地装修工程,non_visible_status,"{""-1"": 1}",0,0,0,6713012.21,"{""联营"": 1}",contract_business_fact_project_anchor_carried,"contract source has project id absent from project.csv and does not pass visible income contract filter, but is carried as a historical project business-fact anchor"
c60695931b894e94b2c2011981c6a9e6,contract_project_business_fact_anchor,1,0,四川美丰化工股份有限公司燃气报警系统安装工程,48e166c43a3c4f5ab54a6ed2f2ba86a1,四川美丰化工股份有限公司燃气报警系统安装工程,non_visible_status,"{""0"": 1}",0,0,0,5000.00,"{""联营"": 1}",contract_business_fact_project_anchor_carried,"contract source has project id absent from project.csv and does not pass visible income contract filter, but is carried as a historical project business-fact anchor"
c61a4566cd554630adf3359de5f449d6,contract_project_business_fact_anchor,1,0,珠峰文化旅游创意产业园区基础设施建设项目一期工程第三标段,4eec9aefce68418eab4c63c67bb75f57,珠峰文化旅游创意产业园区基础设施建设项目一期工程第三标段,non_visible_status,"{""0"": 1}",0,0,0,4836315.93,"{""联营"": 1}",contract_business_fact_project_anchor_carried,"contract source has project id absent from project.csv and does not pass visible income contract filter, but is carried as a historical project business-fact anchor"
d2a0856f5ad740f795f731b8df71da33,contract_project_business_fact_anchor,1,0,四川利龙建筑工程有限公司,fff7ba422c5c4ce1bad13bf0b8e6b0d2,2020年度高阳街道横路村3组、移民组烤房群修复项目 （二标段）,non_visible_status,"{""-1"": 1}",0,0,0,450274.30,"{""联营"": 1}",contract_business_fact_project_anchor_carried,"contract source has project id absent from project.csv and does not pass visible income contract filter, but is carried as a historical project business-fact anchor"
de6b06f368bc4583ba6847755ea921e2,contract_project_business_fact_anchor,6,0,中江县小型汽车驾驶人考场建设项目,003b7c3a05c24aa7a4812bbb24cc566f,,"missing_counterparty,missing_subject","{""2"": 6}",0,6,6,14249950.38,"{""联营"": 5, ""自营"": 1}",contract_business_fact_project_anchor_carried,"contract source has project id absent from project.csv and does not pass visible income contract filter, but is carried as a historical project business-fact anchor"
eb7ce793e0bb4fbc81803a3c597a9339,contract_project_business_fact_anchor,2,0,2020年工程学院,6ade070f1c12484caed348bb44fd4ebc,青山巷汽修厂下水道改造项目,non_visible_status,"{""-1"": 2}",0,0,0,135481.71,"{""联营"": 2}",contract_business_fact_project_anchor_carried,"contract source has project id absent from project.csv and does not pass visible income contract filter, but is carried as a historical project business-fact anchor"
ece9491b4d2f499a8c3ea1f4b35677f5,contract_project_business_fact_anchor,1,0,德阳市党校整体迁建工程区域工程-给排水专业分包,d009412ced9242e28bb102c8c98e5960,德阳市党校整体迁建工程区域工程-给排水专业分包,non_visible_status,"{""0"": 1}",0,0,0,3415401.09,"{""联营"": 1}",contract_business_fact_project_anchor_carried,"contract source has project id absent from project.csv and does not pass visible income contract filter, but is carried as a historical project business-fact anchor"
f630eea85f814d15aa0ab1a40ed87699,contract_project_business_fact_anchor,1,0,2018年贫困村村级阵地建设项目施工5（鹤龄镇翠柏村）,cc76c1e52c0a471ca90541c6de07a779,,missing_subject,"{""__empty__"": 1}",0,1,0,463400.00,"{""联营"": 1}",contract_business_fact_project_anchor_carried,"contract source has project id absent from project.csv and does not pass visible income contract filter, but is carried as a historical project business-fact anchor"
